CloudFlare,1.1.1.1
CloudFlare,1.0.0.1
Google Public DNS,8.8.8.8
Google Public DNS,8.8.4.4
OpenDNS,208.67.222.222
OpenDNS,208.67.220.220
Norton ConnectSafe,199.85.126.30
Norton ConnectSafe,199.85.127.30
Comodo Secure DNS,8.26.56.26
Comodo Secure DNS,8.20.247.20
Quad9,9.9.9.9
Quad9,149.112.112.112
Verisign DNS,64.6.64.6
Verisign DNS,64.6.65.6
GigaDNS,189.38.95.95
GigaDNS,189.38.95.96
Level 3,209.244.0.3
Level 3,209.244.0.4
Level 3,4.2.2.1
Level 3,4.2.2.2
Level 3,4.2.2.3
Level 3,4.2.2.4
Level 3,4.2.2.5
Level 3,4.2.2.6
DNS Watch,84.200.69.80
DNS Watch,84.200.70.40
OpenNIC,200.252.98.162
ScrubIt,67.138.54.100
ScrubIt,207.225.209.66
Dnsadvantage,156.154.70.1
GVT-Sul,200.175.89.139
GVT-Sul,200.175.5.139
TIM,189.40.220.41
TIM Brasil,200.179.42.35
TIM Sul,200.203.251.250
IG,200.225.157.104
IG,200.225.157.105
Intelig,200.184.26.3
Intelig,200.184.26.4
Uol.com.br,200.221.11.98
Uol.com.br,200.147.255.105
Terra.com.br,200.176.2.10
Terra.com.br,200.176.2.12
Vivo,200.220.227.200
Vivo,200.142.130.10
TIM,208.67.222.222
TIM,208.67.220.220
Oi,201.10.120.2
Claro,200.255.121.39
Claro,200.169.117.14
Brasil Telecom,201.10.120.2
Algar,200.225.197.37
Algar,200.225.197.34

